threshold,accuracy,precision,recall,f1
0.5300000000000001,0.5421428571428571,0.5973597359735974,0.25857142857142856,0.3609172482552343
0.5400000000000001,0.5385714285714286,0.6088709677419355,0.21571428571428572,0.31856540084388185
0.5500000000000002,0.5392857142857143,0.6410256410256411,0.17857142857142858,0.27932960893854747
0.5600000000000002,0.5364285714285715,0.6917293233082706,0.13142857142857142,0.22088835534213686
0.5700000000000002,0.5392857142857143,0.7391304347826086,0.12142857142857143,0.2085889570552147
0.5800000000000002,0.5371428571428571,0.7549019607843137,0.11,0.19201995012468828
0.5900000000000002,0.5342857142857143,0.7608695652173914,0.1,0.17676767676767677
0.6000000000000002,0.5357142857142857,0.7906976744186046,0.09714285714285714,0.17302798982188294
0.6100000000000001,0.5328571428571428,0.8026315789473685,0.08714285714285715,0.15721649484536082
0.6200000000000001,0.5335714285714286,0.8615384615384616,0.08,0.14640522875816994
0.6300000000000001,0.5314285714285715,0.8793103448275862,0.07285714285714286,0.1345646437994723
0.6400000000000001,0.5278571428571428,0.8679245283018868,0.06571428571428571,0.12217795484727756
0.6500000000000001,0.5257142857142857,0.875,0.06,0.11229946524064172
0.6600000000000001,0.5257142857142857,0.8913043478260869,0.05857142857142857,0.10991957104557641
0.6700000000000002,0.5264285714285715,0.9111111111111111,0.05857142857142857,0.11006711409395974
0.6800000000000002,0.5257142857142857,0.9090909090909091,0.05714285714285714,0.10752688172043011
0.6900000000000002,0.525,0.9487179487179487,0.05285714285714286,0.10013531799729364
0.7000000000000002,0.5221428571428571,0.9428571428571428,0.047142857142857146,0.08979591836734693
0.7100000000000002,0.5221428571428571,0.9696969696969697,0.045714285714285714,0.08731241473396999
0.7200000000000002,0.5207142857142857,0.967741935483871,0.04285714285714286,0.08207934336525308
0.7300000000000002,0.5157142857142857,0.9583333333333334,0.032857142857142856,0.06353591160220995
0.7400000000000002,0.5142857142857142,0.9545454545454546,0.03,0.05817174515235457
0.7500000000000002,0.5121428571428571,0.9473684210526315,0.025714285714285714,0.05006954102920723
0.7600000000000002,0.5085714285714286,0.9285714285714286,0.018571428571428572,0.036414565826330535
0.7700000000000002,0.5078571428571429,0.9230769230769231,0.017142857142857144,0.033660589060308554
0.7800000000000001,0.5057142857142857,0.9,0.012857142857142857,0.02535211267605634
0.7900000000000001,0.5057142857142857,0.9,0.012857142857142857,0.02535211267605634
0.8000000000000002,0.5057142857142857,0.9,0.012857142857142857,0.02535211267605634
0.8100000000000002,0.5057142857142857,0.9,0.012857142857142857,0.02535211267605634
0.8200000000000002,0.505,0.8888888888888888,0.011428571428571429,0.022566995768688293
0.8300000000000002,0.5042857142857143,0.875,0.01,0.01977401129943503
